author_id	proper_name	dates
1	Ай Цин	(1910-1996)
2	Анонимные романсы из романа "Цзинь, Пин, Мэй"	(XVI в.)
3	Бай Пу	(1226?-1306)
4	Бао Линхуэй	(V в.)
5	Бао Чжао	(405?-466)
6	Бо Синцзянь	(около 770 - около 816)
7	Бо Цзюйи	(772-846)
8	Бэй Дао	(1949-ныне)
9	Бянь Гун	(1479-1521)
10	Бянь Тун	(вторая половина XIV в.)
11	Бянь Чжилинь	(1910-2000)
12	Ван Аньши	(1021-1086)
13	Ван Бо	(650-676)
14	Ван Вань	(693-751?)
15	Ван Вэй	(699–759)
16	Ван Вэй	(конец XIV – начало XV вв.)
17	Ван Вэнь	(XVI в.)
18	Ван Гун	(ок. 1398)
19	Ван Жун	(467-494)
20	Ван Сичжи	(303-361)
21	Ван Сюнь	(1350-1401)
22	Ван Сянфэн	(1957-ныне)
23	Ван Тинсян	(1474-1544)
24	Ван Тунчжао	(1898-1957)
25	Ван Фаньчжи	(VIIв.)
26	Ван Фэньсянь	(1564?–1633?)
27	Ван Хун	(ок. 1644)
28	Ван Хэцин	(династия Юань)
29	Ван Цань	(177-217)
30	Ван Цзи	(585 - 644)
31	Ван Цзинь	(700 - 781)
32	Ван Цзо	(XV в.)
33	Ван Цзянь	(768-835)
34	Ван Чанлин	(698? - 756?)
35	Ван Чжихуань	(688— 742)
36	Ван Чухоу	(XII в.)
37	Ван Шифу	(1250-1307)
38	Ван Шичжэнь	(1526-1590)
39	Ван Эрбай	(XX в.)
40	Ван Эрбэй	(1926-ныне)
41	Ван Юньфэн	(вторая половина XV в.)
42	Ван Япин	(1905-1960?)
43	Вэй Инъу	(737-792)
44	Вэй Чжуан	(836 - 910)
45	Вэй Чэнцин	(640? - ок. 707)
46	Вэй Юн	(VIII в.)
47	Вэнь Вэй	(Династия Тан)
48	Вэнь Идо	(1899-1946)
49	Вэнь Лю	(1912-1937)
50	Вэнь Тинъюнь	(812-870)
51	Вэнь Тяньсян	(1236-1282)
52	Вэнь Цзе	(1923-1971)
53	Ган Цзы	(1977-ныне)
54	Гао Ци	(1336-1374)
55	Гао Ши	(702 - 765)
56	Го Можо	(1892-1978)
57	Гу Кайчжи	(344-406)
58	Гу Куан	(726?- 805)
59	Гу Сыли	(1669-1722)
60	Гу Чэн	(1956-1993)
61	Гуань Ханьцин	(1210-1280)
62	Гуань Чжунцзи	(1262-1319)
63	Гуань Юньши	(1286-1324)
64	Гун Лю	(1927-2003)
65	Гун Синчжи	(1330?-1380?)
66	Гун Цзычжэнь	(1792-1841)
67	Гэн Вэй	(730?-790?)
68	Да До	(1965-ныне)
69	Дай Ваншу	(1905-1950)
70	Дай Фугу	(1167-?)
71	Дай Шулунь	(732-789)
72	Дао Юань	(XVII в.)
73	Девятнадцать древних стихотворений	(III в. до н.э. - III в. н.э.)
74	Джиди Мацзя	(1961-ныне)
75	Ду Му	(803-852)
76	Ду Фу	(712-770)
77	Ду Цюнян	(первая треть IX в.)
78	Дуань Гуанъань	(1956-ныне)
79	Дун Си	(1966-ныне)
80	Дунтинский старец	(XVII в.)
81	Дэн Гуанцзянь	(ок. 1270)
82	Е Мэндэ	(1077-1148)
83	Жуань Цзи	(210-263)
84	Жчу Цзин	(ок. 1700)
85	Жэнь Фан	(460—508)
86	Жэнь Цзюнь	(1909-1960?)
87	И Лэй	(1951-2018)
88	И Ша	(1966-ныне)
89	Ин Сюжэнь	(1900-1933)
90	Ин Ян	(?-217)
91	Инь Личуань	(1973-ныне)
92	Инь Фу	(1909-1946)
93	Инь Юньсяо	(1476-1521)
94	Кан Байцин	(1896–1945)
95	Книга песен	(VI в. до н.э.)
96	Конфуций	(551-479 до н. э.)
97	Ку Ляньшу	(1981-ныне)
98	Кун Фу	(1925-1997)
99	Кун Чжигуй	(447-501)
100	Ланьлинский насмешник	(XVI в.)
101	Лао-цзы	(VI-V вв до н. э.)
102	Ли Бо	(701-762)
103	Ли Гоу	(1009-1059)
104	Ли Гуантянь	(1907-1968)
105	Ли Е	(709-784)
106	Ли И	(748-827)
107	Ли Паньлун	(1514-1570)
108	Ли Фамо	(XX в.)
109	Ли Хуа	(715 - 766)
110	Ли Хэ	(791-817)
111	Ли Цзи	(1921-1980)
112	Ли Ци	(690-751)
113	Ли Цинчжао	(1084 - 1151)
114	Ли Чжии	(1048-1117)
115	Ли Шанъинь	(813 - 858)
116	Ли Ши	(XVII в.)
117	Ли Шэ	(середина IX в.)
118	Ли Юй	(1610?-1680?)
119	Ли Юй	(937-978)
120	Линь Гун	(1350?-1390?)
121	Линь Ман	(1949-ныне)
122	Линь Цзяньлун	(1956-ныне)
123	Ло Биньван	(619–684?)
124	Ло Гуаньчжун	(1328-1398)
125	Ло Гэнъе	(1951-ныне)
126	Ло Инь	(833-909)
127	Лу Вэйпин	(1965-ныне)
128	Лу Ли	(1914-1999)
129	Лу Лунь	(748-800?)
130	Лу Цзи	(261-303)
131	Лу Цзунь	(ок.708)
132	Лу Цзюань	(XVII в.)
133	Лу Чжаолинь	(635?-680?)
134	Лу Чжи	(1235?-1314?)
135	Лу Чжуань	(конец VII - начало VIII в.)
136	Лу Ю	(1125-1210)
137	Лу Юнь	(262-303)
138	Лужодиги	(1967-ныне)
139	Лэй Жэнь	(1950-ныне)
140	Лю Баньнун	(1891–1934)
141	Лю Вэй	(810 - ?)
142	Лю Дабай 	(1880–1932)
143	Лю Линсянь	(VI в.)
144	Лю Пинь	(1963-ныне)
145	Лю Фанпин	(742?-779?)
146	Лю Цзи	(1311-1375)
147	Лю Цзунъюань	(773 - 819)
148	Лю Цзыхуэй	(1101-1147)
149	Лю Цзя	(середина IX в.)
150	Лю Цю	(1392-1443)
151	Лю Чанцин	(ок. 709 - ок. 780)
152	Лю Чжэнь	(ок. 170-217)
153	Лю Чунь	(1974-ныне)
154	Лю Шицзюнь	(эпоха Южная Сун)
155	Лю Юйси	(772 - 842)
156	Лю Юн	(987 - 1053)
157	Люй Цзянь	(1919-1990?)
158	Лян Цзундай	(1903-1983)
159	Ляо Ляо	(XX в.)
160	Ма Чжиюань	(1250? - 1323?)
161	Ма Чжияо	(1971-ныне)
